"","x"
"1","Create and save model"
"2","116.389999999898"
"3","29.4599999999627"
"4","27.9399999999441"
"5","18.4199999999255"
"6","41.4699999999721"
"7","43.5800000000745"
"8","40.7800000000279"
"9","38.5500000000466"
